"","Planted forest (million m³ over bark)","Planted forest (million m³ over bark)","Planted forest (million m³ over bark)","Planted forest (million m³ over bark)","Planted forest (million m³ over bark)","Planted forest (million m³ over bark)"
"Democratic People's Republic of Korea","70.40","78.96","88.69","92.92","97.16","101.39"
"Democratic Republic of the Congo","","","","","",""
"Denmark","","","95.44","106.25","108.98","119.13"
"Djibouti","0.00","0.00","0.00","0.00","0.01","0.01"
"Dominica","0.00","0.00","0.00","0.00","0.00","0.00"
"Dominican Republic","","","","","",""
"Ecuador","","","","","",""
"Egypt","0.41","0.41","0.41","0.41","0.41","0.41"
"El Salvador","1.09","1.33","1.57","1.62","1.64","1.67"
"Equatorial Guinea","0.00","0.00","0.00","0.00","0.00","0.00"
"Eritrea","0.61","0.61","0.61","0.61","0.61","0.61"
"Estonia","29.47","25.11","26.96","30.61","30.36","29.70"
"Eswatini","14.52","14.52","14.52","14.52","14.52","14.52"
"Ethiopia","17.38","31.08","44.79","50.27","62.68","70.12"
"Falkland Islands (Malvinas)","0.00","0.00","0.00","0.00","0.00","0.00"
"Faroe Islands","","","","","",""
"Fiji","19.92","29.49","39.05","43.83","48.62","53.44"
"Finland","","270.78","558.64","659.08","746.78","757.63"
"France","","","364.19","421.47","448.68","475.89"
"French Guiana","0.23","0.23","0.23","0.23","0.26","0.26"
"French Polynesia","0.64","1.28","1.39","1.39","1.39","1.39"
"Gabon","8.37","9.91","12.65","12.65","10.53","10.54"
"Gambia","","","","","",""
"Georgia","","","","","","10.09"
"Germany","1407.50","1690.50","1808.50","1831.50","1831.50","1830.00"
"Ghana","8.75","11.57","20.12","28.24","36.40","50.86"
"Gibraltar","0.00","0.00","0.00","0.00","0.00","0.00"
"Greece","5.99","5.99","6.01","6.62","7.69","7.69"
"Greenland","","","","","",""
"Grenada","0.01","0.01","0.01","0.01","0.01","0.01"
"Guadeloupe","0.03","0.03","0.04","0.04","0.04","0.04"
"Guam","0.00","0.00","0.00","0.00","0.00","0.00"
"Guatemala","","","","","",""
"Guernsey","","","","","",""
"Guinea","3.42","5.06","6.69","7.50","8.23","8.62"
"Guinea-Bissau","","","","","",""
"Guyana","0.00","0.00","0.00","0.00","0.00","0.00"
"Haiti","0.00","0.00","0.00","0.00","0.00","0.00"
"Holy See","0.00","0.00","0.00","0.00","0.00","0.00"
"Honduras","0.00","0.00","","","",""
"Hungary","","","109.10","118.90","127.90","138.05"
"Chad","0.05","0.06","0.08","0.08","0.09","0.09"
"Chile","247.86","342.98","426.13","458.55","479.47","520.14"
"China","739.00","1466.00","2441.00","3285.00","4454.00","5624.00"
"Iceland","0.02","0.07","0.29","0.47","0.94","1.41"
"India","1015.00","1122.00","1196.89","1192.00","995.74","1157.93"
"Indonesia","597.06","626.12","840.45","879.81","1027.05","1033.61"
"Iran (Islamic Republic of)","57.68","57.68","71.13","86.50","88.00","92.44"
"Iraq","0.54","0.60","0.70","0.87","0.85","1.02"
"Ireland","","","85.70","103.27","123.94","134.46"
"Isle of Man","","","","","",""
"Israel","","","","","",""
"Italy","71.01","72.77","77.76","79.05","81.46","78.10"
"Jamaica","1.16","0.98","0.99","0.96","0.89","0.81"
"Japan","","","2881.00","3198.00","3448.00","3543.00"
"Jersey","","","","","",""
"Jordan","0.90","0.90","0.90","0.90","0.90","0.90"
"Kazakhstan","","","","","",""
"Kenya","61.30","61.30","61.30","61.30","61.30","61.30"
"Kiribati","","","","","",""
"Kuwait","0.11","0.15","0.17","0.19","0.19","0.19"
"Kyrgyzstan","1.15","1.24","1.42","1.54","1.92","1.92"
"Lao People's Democratic Republic","","","","","",""
"Latvia","44.00","54.00","62.67","67.42","74.86","82.29"
"Lebanon","0.01","0.01","0.01","0.01","0.01","0.01"
"Lesotho","1.21","1.21","1.21","1.21","1.21","1.21"
"Liberia","","","","","",""
"Libya","8.15","8.02","7.90","7.83","7.77","7.71"
"Liechtenstein","0.00","0.00","0.00","0.00","0.00","0.00"
"Lithuania","87.30","102.60","113.40","131.15","127.65","132.54"
"Luxembourg","","","","","",""
"Madagascar","58.85","53.29","44.78","39.84","35.88","33.77"
"Malawi","","","","","",""
"Malaysia","280.53","235.99","189.79","247.66","299.99","342.04"
"Maldives","0.00","0.00","0.00","0.00","0.00","0.00"
"Mali","","","","","",""
"Malta","0.00","0.00","0.00","0.00","",""
"Marshall Islands","0.46","0.46","0.46","0.46","0.49","0.49"
"Martinique","0.47","0.50","0.52","0.52","0.52","0.52"
"Mauritania","1.32","2.50","3.68","4.27","4.86","5.45"
"Mauritius","2.07","2.16","2.15","2.17","2.18","2.18"
"Mayotte","0.02","0.03","0.05","0.05","0.06","0.07"
"Mexico","","","","","",""
"Micronesia (Federated States of)","","","","","",""
"Monaco","0.00","0.00","0.00","0.00","0.00","0.00"
"Mongolia","","","","","",""
"Montenegro","0.94","0.94","1.19","1.19","1.19","1.19"
"Montserrat","0.00","0.00","0.00","0.00","0.00","0.00"
"Morocco","6.14","10.16","12.55","16.35","22.27","24.26"
"Mozambique","5.70","5.70","8.20","9.90","11.14","12.64"
"Myanmar","12.44","21.97","31.21","36.11","41.01","45.92"
"Namibia","0.00","0.00","0.00","0.00","0.00","0.00"
"Nauru","0.00","0.00","0.00","0.00","0.00","0.00"
"Nepal","65.92","65.92","65.94","65.91","65.86","65.86"
"Netherlands (Kingdom of the)","44.81","53.29","67.68","70.37","76.91","80.11"
"New Caledonia","1.53","1.62","1.79","0.86","0.86","0.86"
"New Zealand","313.34","483.54","667.01","738.57","781.24","805.43"
"Nicaragua","0.00","0.00","3.87","9.56","14.55","19.55"
"Niger","0.48","0.74","1.00","1.12","1.25","2.01"
"Nigeria","161.47","191.40","221.32","236.29","251.25","266.21"
"Niue","0.00","0.00","0.00","0.00","0.00","0.00"
"Norfolk Island","","","","","",""
"North Macedonia","","","","","",""
"Northern Mariana Islands","0.00","0.00","0.00","0.00","0.00","0.00"
"Norway","","","21.63","23.03","26.73","26.73"
"Oman","0.00","0.00","0.00","0.00","0.00","0.00"
"Pakistan","4.45","4.56","4.67","4.74","6.20","6.67"
"Palau","3.63","3.76","3.85","3.89","3.93","3.98"
"Palestine","","","","","",""
"Panama","1.79","5.33","9.08","9.97","10.67","12.19"
"Papua New Guinea","4.90","4.90","4.90","4.90","5.38","5.86"
"Paraguay","0.00","0.00","0.00","0.00","6.67","41.19"
"Peru","","","","","",""
"Philippines","32.54","32.54","45.88","55.30","64.78","74.27"
"Pitcairn","","","","","",""
"Poland","","","","1988.80","2081.79","2109.00"
"Portugal","80.68","88.43","96.13","98.93","94.54","94.76"
"Puerto Rico","0.00","0.00","0.00","0.00","0.00","0.00"
"Qatar","0.00","0.00","0.00","0.00","0.00","0.00"
"Republic of Korea","","","","","",""
"Republic of Moldova","7.47","7.91","16.11","16.62","16.05","15.93"
"Réunion","1.15","1.15","1.15","1.15","1.15","1.15"
"Romania","111.80","111.80","114.34","202.53","252.79","191.04"
"Russian Federation","2417.39","2992.87","3784.84","4057.59","4211.47","4305.06"
"Rwanda","34.83","37.20","46.09","65.88","88.99","115.41"
"Saint Barthélemy","0.00","0.00","0.00","0.00","0.00","0.00"
"Saint Kitts and Nevis","0.00","0.00","0.00","0.00","0.00","0.00"
"Saint Lucia","0.00","0.00","0.00","0.00","0.00","0.00"
"Saint Martin (French Part)","0.00","0.00","0.00","0.00","0.00","0.00"
"Saint Pierre and Miquelon","0.00","0.00","0.00","0.00","0.00",""
"Saint Vincent and the Grenadines","0.01","0.07","0.08","0.07","0.09","0.09"
"Samoa","3.35","3.26","3.17","3.13","3.08","3.04"
"San Marino","0.00","0.00","0.00","0.00","0.00","0.00"
"Sao Tome and Principe","0.00","0.00","0.00","0.00","0.00","0.00"
"Saudi Arabia","2.10","2.10","2.10","2.10","2.10","2.34"
"Senegal","0.50","0.46","0.42","1.23","1.73","2.47"
"Serbia","2.20","15.78","29.81","36.83","43.84","50.86"
"Seychelles","0.64","0.64","0.64","0.64","0.64","0.64"
"Sierra Leone","0.27","0.31","0.58","0.72","0.85","0.99"
"Singapore","0.00","0.00","0.00","0.00","0.00","0.00"
"Sint Maarten (Dutch part)","0.00","0.00","0.00","0.00","0.00","0.00"
"Slovakia","160.64","183.62","206.87","214.11","216.97","216.23"
"Slovenia","","","","","",""
"Solomon Islands","4.91","4.96","5.01","5.03","5.08","5.15"
"Somalia","0.32","0.32","0.32","0.32","0.32","0.32"
"South Africa","450.08","484.19","518.29","535.35","552.40","569.45"
"South Sudan","58.04","58.04","58.04","58.04","58.04","58.04"
"Spain","127.20","206.09","232.18","247.04","300.90","313.75"
"Sri Lanka","10.85","9.48","8.18","7.41","9.46","9.46"
"Sudan","","","","","",""
"Suriname","","","","","",""
"Svalbard and Jan Mayen Islands","0.00","0.00","0.00","0.00","0.00","0.00"
"Sweden","","","","","",""
"Switzerland","71.44","69.60","66.58","65.63","64.95","64.26"
"Syrian Arab Republic","13.09","18.23","27.90","31.30","34.29","38.00"
"Tajikistan","","","","","",""
"Thailand","370.20","370.20","370.20","370.20","396.10","331.40"
"Timor-Leste","0.56","0.56","0.56","0.56","0.56","0.56"
"Togo","0.59","0.98","1.36","1.55","2.71","4.28"
"Tokelau","0.00","0.00","0.00","0.00","0.00","0.00"
"Tonga","0.10","0.10","0.10","0.10","0.10","0.10"
"Trinidad and Tobago","7.35","7.35","7.35","7.35","7.35","7.35"
"Tunisia","1.34","2.83","4.02","4.37","4.68","4.79"
"Türkiye","24.41","41.36","49.17","52.76","53.08","55.00"
"Turkmenistan","","","","","",""
"Turks and Caicos Islands","0.00","0.00","0.00","0.00","0.00","0.00"
"Tuvalu","0.00","0.00","0.00","0.00","0.00","0.00"
"Uganda","13.78","21.76","29.74","33.73","37.72","41.71"
"Ukraine","701.00","1074.00","1100.00","1110.00","1129.00","1129.00"
"United Arab Emirates","0.12","0.12","0.27","0.32","0.37","0.42"
"United Kingdom of Great Britain and Northern Ireland","","","","","",""
"United Republic of Tanzania","34.11","34.11","34.11","34.11","34.11","34.11"
"United States of America","581.40","1086.74","2556.03","2946.17","3605.08","4317.62"
"United States Virgin Islands","0.00","0.00","0.00","0.00","0.00","0.00"
"Uruguay","17.45","49.75","102.80","144.30","144.10","165.00"
"Uzbekistan","32.00","32.70","33.20","34.30","36.06","38.15"
"Vanuatu","","","","","",""
"Venezuela (Bolivarian Republic of)","53.59","105.50","134.79","146.99","153.14","160.98"
"Viet Nam","28.53","73.52","84.14","146.69","222.63","237.05"
"Wallis and Futuna Islands","0.07","0.11","0.12","0.11","0.10","0.10"
"Western Sahara","0.00","0.00","0.00","0.00","0.00","0.00"
"Yemen","5.09","5.09","5.09","5.09","5.09","5.09"
"Zambia","9.64","9.57","9.50","9.32","9.23","9.13"
"Zimbabwe","37.39","35.02","32.66","31.99","31.38","30.79"
"© FRA 2026","","","","","",""
